,Survey Year,Timestamp,SalaryUSD,Country,PostalCode,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender
1599,2020,2019-12-11 11:12:27.912,110000.0,United States,92627,Microsoft SQL Server,6,"Independent consultant, contractor, freelancer,  or company owner",DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,6,102,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Change both employers and roles,Male
1600,2020,2019-12-11 11:12:17.509,118000.0,United States,29651,Microsoft SQL Server,15,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,12,140,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1601,2020,2019-12-11 11:12:14.171,115000.0,United States,76102,Microsoft SQL Server,20,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,18,60,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Local government,"Stay with the same employer, same role",Male
1602,2020,2019-12-11 11:12:10.389,100093.0,United States,92121,Microsoft SQL Server,14,Full time employee,Developer: T-SQL,No,10,4,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1603,2020,2019-12-11 11:11:46.881,125000.0,United States,97223,Microsoft SQL Server,20,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,23,53,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Female
1605,2020,2019-12-11 11:11:34.854,156000.0,United States,95008,Microsoft SQL Server,15,"Independent consultant, contractor, freelancer,  or company owner",Developer: T-SQL,No,10,4,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1606,2020,2019-12-11 11:11:27.217,124000.0,United States,97225,Microsoft SQL Server,20,Full time employee,Manager,Yes,1,60,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Female
1607,2020,2019-12-11 11:11:10.986,135000.0,United States,77449,Microsoft SQL Server,20,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,20,80,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1608,2020,2019-12-11 11:11:02.791,72000.0,United States,85712,Microsoft SQL Server,5,Full time employee,Developer: T-SQL,Yes,5,2,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1610,2020,2019-12-11 11:10:51.211,75000.0,United States,618,Microsoft SQL Server,10,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,4,10,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Private business,"Stay with the same role, but change employers",Male
1611,2020,2019-12-11 11:10:36.905,82400.0,United States,21211,Microsoft SQL Server,4,Full time employee,Developer: T-SQL,No,4,15,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,Change both employers and roles,Female
1612,2020,2019-12-11 11:10:36.632,73855.0,United States,01035,Microsoft SQL Server,6,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,6,5,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),"Education (K-12, college, university)","Stay with the same employer, same role",Female
1613,2020,2019-12-11 11:10:24.910,66000.0,United States,48532,Microsoft SQL Server,9,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,9,15,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Private business,"Stay with the same role, but change employers",Male
1615,2020,2019-12-11 11:10:19.831,107814.0,United States,19154,Microsoft SQL Server,10,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,13,30,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1616,2020,2019-12-11 11:10:14.616,120000.0,United States,60523,Microsoft SQL Server,3,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,2,10,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same role, but change employers",Male
1618,2020,2019-12-11 11:10:03.926,90000.0,United States,80202,Microsoft SQL Server,8,Full time employee,Engineer,No,7,3,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,Prefer not to say,Male
1619,2020,2019-12-11 11:09:59.819,119500.0,United States,80112,Microsoft SQL Server,15,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,7,50,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1620,2020,2019-12-11 11:09:55.963,115000.0,United States,30339,Microsoft SQL Server,9,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,25,19,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1622,2020,2019-12-11 11:09:39.000,145600.0,United States,97206,Microsoft SQL Server,14,Full time employee,Architect,No,10,60,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1623,2020,2019-12-11 11:09:31.580,80000.0,United States,,Microsoft SQL Server,3,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,1,14,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1624,2020,2019-12-11 11:09:06.470,78000.0,United States,97202,Microsoft SQL Server,6,Full time employee,Developer: T-SQL,No,6,2,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Change both employers and roles,Male
1625,2020,2019-12-11 11:09:05.377,168000.0,United States,,Microsoft SQL Server,22,Full time employee,Manager,Yes,10,25,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,Change both employers and roles,Male
1627,2020,2019-12-11 11:08:52.628,105000.0,United States,50613,Microsoft SQL Server,20,Full time employee,Manager,Yes,5,20,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Private business,"Stay with the same role, but change employers",Male
1628,2020,2019-12-11 11:08:43.974,105000.0,United States,15074,Microsoft SQL Server,20,Full time employee,Engineer,No,20,1200,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1629,2020,2019-12-11 11:08:42.412,90000.0,United States,70816,Microsoft SQL Server,10,Full time employee,Manager,Yes,20,6,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),"Education (K-12, college, university)","Stay with the same employer, same role",Male
1630,2020,2019-12-11 11:08:26.475,82000.0,United States,77009,Microsoft SQL Server,12,Full time employee,Other,No,15,1,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1631,2020,2019-12-11 11:08:19.985,139000.0,United States,60660,Microsoft SQL Server,8,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,8,800,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Non-profit,"Stay with the same employer,  but change roles",Female
1633,2020,2019-12-11 11:08:13.597,162000.0,United States,19406,Microsoft SQL Server,22,Full time employee,Manager,Yes,22,65,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Change both employers and roles,Male
1634,2020,2019-12-11 11:08:04.894,85000.0,United States,66101,Microsoft SQL Server,30,Full time employee,Other,No,30,40,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Local government,"Stay with the same employer, same role",Male
1635,2020,2019-12-11 11:07:47.076,86000.0,United States,45212,Microsoft SQL Server,5,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,5,60,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1637,2020,2019-12-11 11:07:28.993,100000.0,United States,55303,Microsoft SQL Server,7,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,7,20,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1639,2020,2019-12-11 11:01:47.707,115000.0,United States,97204,Microsoft SQL Server,19,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,15,20,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Non-profit,"Stay with the same employer, same role",Male
1640,2020,2019-12-11 10:58:16.167,60000.0,United States,,Microsoft SQL Server,2,Full time employee,Analyst,No,2,15000,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Private business,"Stay with the same employer, same role",Male
1642,2020,2019-12-11 10:49:35.131,100500.0,United States,55436,Microsoft SQL Server,22,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,22,200,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1643,2020,2019-12-11 10:46:54.786,95000.0,United States,3566,Microsoft SQL Server,7,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,10,16,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Private business,"Stay with the same employer, same role",Male
1647,2020,2019-12-11 10:34:47.072,123000.0,United States,63005,Microsoft SQL Server,25,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,10,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same role, but change employers",Male
1648,2020,2019-12-11 10:34:35.600,47840.0,United States,26003,Microsoft SQL Server,4,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,22,15,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Non-profit,Change both employers and roles,Male
1649,2020,2019-12-11 10:26:52.496,104000.0,United States,77845,Microsoft SQL Server,13,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,13,40,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),"Education (K-12, college, university)","Stay with the same employer, same role",Male
1650,2020,2019-12-11 10:24:32.703,112000.0,United States,52402,Microsoft SQL Server,19,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,16,500,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Non-profit,"Stay with the same employer, same role",Male
1651,2020,2019-12-11 10:21:46.869,85000.0,United States,29407,Microsoft SQL Server,3,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,6,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Male
1652,2020,2019-12-11 10:18:29.639,104000.0,United States,104000,Microsoft SQL Server,13,Full time employee of a consulting/contracting company,Developer: T-SQL,No,8,1,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Female
1653,2020,2019-12-11 10:17:56.846,120000.0,United States,85085,Microsoft SQL Server,8,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,1,20,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Prefer not to say,Male
1654,2020,2019-12-11 10:16:22.472,150000.0,United States,27560,Microsoft SQL Server,24,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,24,20,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer,  but change roles",Male
1657,2020,2019-12-11 10:08:07.252,126000.0,United States,837,Microsoft SQL Server,17,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,7,95,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Male
1658,2020,2019-12-11 10:07:43.928,264000.0,United States,94607,Microsoft SQL Server,24,Full time employee,Manager,Yes,7,300,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Change both employers and roles,Male
1659,2020,2019-12-11 10:07:30.481,160000.0,United States,60189,Microsoft SQL Server,7,Full time employee of a consulting/contracting company,Architect,Yes,7,50,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1660,2020,2019-12-11 10:01:41.623,80000.0,United States,32256,Microsoft SQL Server,10,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,3,47,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1661,2020,2019-12-11 09:57:42.516,110000.0,United States,60606,Microsoft SQL Server,10,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,10,200,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1662,2020,2019-12-11 09:52:58.870,98000.0,United States,80014,Microsoft SQL Server,7,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,5,10,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Non-profit,"Stay with the same employer, same role",Male
1664,2020,2019-12-11 09:49:24.757,101000.0,United States,66061,Microsoft SQL Server,6,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,6,5,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer,  but change roles",Male
1665,2020,2019-12-11 09:45:14.901,123600.0,United States,80914,Microsoft SQL Server,15,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,15,9,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Federal government,"Stay with the same employer, same role",Male
1666,2020,2019-12-11 09:43:02.757,82000.0,United States,21409,Microsoft SQL Server,9,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,9,5,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same role, but change employers",Male
1667,2020,2019-12-11 09:42:22.573,135000.0,United States,84081,Microsoft SQL Server,13,Full time employee,Manager,Yes,1,12,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Non-profit,"Stay with the same employer, same role",Male
1668,2020,2019-12-11 09:41:28.823,110000.0,United States,27560,Microsoft SQL Server,22,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,2,800,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Female
1669,2020,2019-12-11 09:41:05.842,120000.0,United States,85086,Microsoft SQL Server,25,Full time employee,Other,No,3,10,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Female
1670,2020,2019-12-11 09:40:42.333,135000.0,United States,275,Microsoft SQL Server,20,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,100,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Female
1673,2020,2019-12-11 09:38:34.532,90000.0,United States,49512,Microsoft SQL Server,5,Full time employee,"Developer: App code (C#, JS, etc)",No,9,5,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Male
1674,2020,2019-12-11 09:34:34.494,77000.0,United States,14450,Microsoft SQL Server,7,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,5,50,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer,  but change roles",Male
1675,2020,2019-12-11 09:34:05.505,93567.0,United States,441,Microsoft SQL Server,7,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,21,40,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Local government,"Stay with the same employer, same role",Male
1677,2020,2019-12-11 09:28:10.685,97000.0,United States,,Microsoft SQL Server,15,Full time employee,Architect,No,5,1,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,Prefer not to say,Prefer not to say
1678,2020,2019-12-11 09:27:35.034,120000.0,United States,40202,Microsoft SQL Server,7,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,21,20,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1680,2020,2019-12-11 09:27:04.124,125000.0,United States,85286,Microsoft SQL Server,5,Full time employee,"Developer: App code (C#, JS, etc)",No,5,1,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1681,2020,2019-12-11 09:24:33.106,48000.0,United States,34667,Microsoft SQL Server,2,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,2,5,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer,  but change roles",Male
1683,2020,2019-12-11 09:16:38.763,95000.0,United States,80120,Microsoft SQL Server,7,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,7,25,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1684,2020,2019-12-11 09:13:45.217,125000.0,United States,37027,Microsoft SQL Server,10,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,10,25,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1685,2020,2019-12-11 09:13:26.962,135000.0,United States,48226,Microsoft SQL Server,13,Full time employee,Architect,No,3,60,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1686,2020,2019-12-11 09:13:22.481,108000.0,United States,80525,Microsoft SQL Server,20,Full time employee,Architect,No,3,15,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Local government,"Stay with the same employer, same role",Male
1687,2020,2019-12-11 09:12:37.109,132000.0,United States,48084,Microsoft SQL Server,20,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,20,25,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1688,2020,2019-12-11 09:11:56.247,45760.0,United States,,Microsoft SQL Server,1,Full time employee of a consulting/contracting company,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,1,250,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1689,2020,2019-12-11 09:11:38.101,320000.0,United States,02116,Other,1,Full time employee,Manager,Yes,2,500,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1691,2020,2019-12-11 09:10:02.778,140000.0,United States,60654,Microsoft SQL Server,18,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,18,100,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1692,2020,2019-12-11 09:09:57.609,120000.0,United States,,Microsoft SQL Server,21,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,16,50,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1693,2020,2019-12-11 09:09:45.198,80000.0,United States,,Microsoft SQL Server,1,Full time employee,Developer: T-SQL,No,1,4,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),State/province government,Prefer not to say,Male
1694,2020,2019-12-11 09:06:06.564,92500.0,United States,33609,Microsoft SQL Server,10,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,7,25,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1695,2020,2019-12-11 09:05:17.307,135000.0,United States,11225,Microsoft SQL Server,7,Full time employee,Engineer,No,1,20,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1697,2020,2019-12-11 09:04:39.405,115000.0,United States,47167,Microsoft SQL Server,14,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,5,25,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1698,2020,2019-12-11 09:03:28.310,52000.0,United States,65109,Microsoft SQL Server,10,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,10,25,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),State/province government,Prefer not to say,Male
1699,2020,2019-12-11 09:01:53.404,118000.0,United States,11203,Microsoft SQL Server,12,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,12,470,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Local government,"Stay with the same role, but change employers",Male
1700,2020,2019-12-11 09:01:25.172,122000.0,United States,64086,Microsoft SQL Server,20,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,6,167,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1701,2020,2019-12-11 08:56:21.189,145000.0,United States,605,Microsoft SQL Server,13,Full time employee,Architect,No,10,2500,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1703,2020,2019-12-11 08:54:21.739,130000.0,United States,40065,Microsoft SQL Server,15,Full time employee,Manager,Yes,5,200,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Non-profit,"Stay with the same employer, same role",Male
1705,2020,2019-12-11 08:52:56.759,545000.0,United States,100,Microsoft SQL Server,20,"Independent consultant, contractor, freelancer,  or company owner",Developer: T-SQL,No,20,5,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Prefer not to say,Male
1706,2020,2019-12-11 08:49:33.355,155000.0,United States,55340,Microsoft SQL Server,15,Full time employee,Other,Yes,5,20,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1708,2020,2019-12-11 08:47:28.593,135000.0,United States,27516,Microsoft SQL Server,18,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,19,15,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Male
1709,2020,2019-12-11 08:46:37.155,94000.0,United States,98271,Microsoft SQL Server,7,Full time employee,"Developer: App code (C#, JS, etc)",Yes,2,2,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same role, but change employers",Male
1711,2020,2019-12-11 08:41:05.273,140000.0,United States,40356,Microsoft SQL Server,11,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,25,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1712,2020,2019-12-11 08:40:39.035,115000.0,United States,,Microsoft SQL Server,18,Full time employee,Architect,Yes,5,10,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer,  but change roles",Male
1713,2020,2019-12-11 08:39:09.035,110000.0,United States,30345,Microsoft SQL Server,18,Full time employee,Developer: T-SQL,No,10,3,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Federal government,Change both employers and roles,Male
1714,2020,2019-12-11 08:38:50.812,86000.0,United States,77573,Microsoft SQL Server,11,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,15,10,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),"Education (K-12, college, university)","Stay with the same employer, same role",Male
1715,2020,2019-12-11 08:38:14.862,93000.0,United States,402,Microsoft SQL Server,7,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,3,320,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
1716,2020,2019-12-11 08:38:06.056,106000.0,United States,84414,Microsoft SQL Server,9,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,9,15,Not Asked,Not Asked,Not Asked,Not Asked,"<= 20,000 (town)",Federal government,"Stay with the same employer, same role",Male
1718,2020,2019-12-11 08:37:45.412,135000.0,United States,84081,Microsoft SQL Server,13,Full time employee,Manager,Yes,1,12,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Non-profit,"Stay with the same employer, same role",Male
1719,2020,2019-12-11 08:37:13.006,150000.0,United States,92122,Microsoft SQL Server,20,Full time employee,Engineer,No,20,20,Not Asked,Not Asked,Not Asked,Not Asked,"<= 20,000 (town)",Private business,"Stay with the same employer, same role",Male
1721,2020,2019-12-11 08:32:14.166,220000.0,United States,10034,Microsoft SQL Server,12,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,6,15,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Prefer not to say,Male
1722,2020,2019-12-11 08:31:24.913,90000.0,United States,32750,Microsoft SQL Server,15,Full time employee,"Developer: App code (C#, JS, etc)",No,6,3,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same role, but change employers",Male
1723,2020,2019-12-11 08:30:49.366,115000.0,United States,21014,Microsoft SQL Server,8,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,8,200,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same role, but change employers",Male
1726,2020,2019-12-11 08:27:52.765,75000.0,United States,58102,Microsoft SQL Server,5,Full time employee,Engineer,No,3,50,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Male
1727,2020,2019-12-11 08:27:29.789,90000.0,United States,58504,Microsoft SQL Server,7,Full time employee,"Developer: App code (C#, JS, etc)",Yes,16,6,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),State/province government,"Stay with the same employer,  but change roles",Male
1728,2020,2019-12-11 08:26:39.470,195000.0,United States,92683,Microsoft SQL Server,13,"Independent consultant, contractor, freelancer,  or company owner",Developer: T-SQL,No,19,9,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
1731,2020,2019-12-11 08:23:37.572,75700.0,United States,,Microsoft SQL Server,3,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,15,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Male
1732,2020,2019-12-11 08:22:50.680,130000.0,United States,,Microsoft SQL Server,10,Full time employee,"Developer: App code (C#, JS, etc)",No,10,4,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,Change both employers and roles,Male
1733,2020,2019-12-11 08:21:14.341,150000.0,United States,80130,Microsoft SQL Server,15,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,18,600,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer,  but change roles",Male
1735,2019,2019-01-04 10:06:24.611,130000.0,United States,49506,Microsoft SQL Server,20,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,17,100,Bachelors (4 years),Yes,"Yes, but they expired",42,100K-299K (city),Private business,Prefer not to say,Female
1739,2019,2019-01-03 11:38:04.018,58500.0,United States,50266,Microsoft SQL Server,5,Full time employee,Analyst,No,5,1,Associates (2 years),Yes,"No, I never have",40,100K-299K (city),Private business,"Stay with the same employer, same role",Male
